"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PROD_ID";"SF_ID";"SPICEPREFIX";"SUPPLIER";"VALUE";
"1";"ADV7611";"ADV7611";"QFP50P1210X1210X120-65T500";"U$5";"";"";"";"";"";"";"";"";"";"";"";
"1";"AP2305BGN";"P-CHANNEL-MOSFET";"SOT23-3";"U$7";"P-Channel MOSFET Mode Field Effect Transistor";"";"";"";"";"";"";"";"";"";"";
"1";"AUDIO_JACK_SMD";"AUDIO_JACK_TRRSSMD_RA";"AUDIO_JACK_3.5MM_TRRS_SMD_RA";"J2";"Audio Jack - 3.5mm TRRS (SMD)";"";"";"";"";"";"CONN-10676";"PRT-12639";"";"";"";
"2";"BSS123";"BSS123";"SOT23";"Q4, Q5";"N-CHANNEL MOS FET";"";"";"";"";"";"";"";"";"";"";
"1";"HDMI-A";"HDMI-A";"HDMI_A";"U$12";"Horizonal HDMI type "A" jack";"";"";"";"";"";"";"";"";"";"";
"1";"HR911105A";"HR911105A";"RJ45";"U$3";"";"";"";"";"";"";"";"";"";"";"";
"4";"MOUNT-HOLE3.0";"MOUNT-HOLE3.0";"3,0";"H1, H2, H3, H4";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"";"";
"3";"MP1584-MINI";"MP1584-MINI";"MINI-DC-BRICK";"U$4, U$10, U$11";"";"";"";"";"";"";"";"";"";"";"";
"1";"NS2009";"NS2009";"MSOP10";"U$8";"";"";"";"";"";"";"";"";"";"";"";
"1";"OV2640";"PINHD-2X10";"2X10";"JP10";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";
"1";"OV7670";"PINHD-2X9";"2X09";"JP6";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";
"1";"PT4101";"PT4101";"SOT23-6";"U$9";"";"";"";"";"";"";"";"";"";"";"";
"1";"RT9013-18GB";"RT9013";"SOT-23-5";"U$14";"";"";"";"";"";"";"";"";"";"";"";
"1";"RTL8723BS";"RTL8723BS";"LGA";"U$2";"";"";"";"";"";"";"";"";"";"";"";
"1";"TRANSFLASH-LOCK";"TRANSFLASH-LOCK";"TRANSFLASH-LOCK-SOCK";"J1";"TransFlash TF Micro SD Card Socket Adapter";"";"";"";"";"";"";"";"";"";"";
"1";"U-FL";"ANTENNA-CONN-U-FL(3P)";"U-FL3P-SMD-2.6X2.6X1.0MM";"ANT2";"320110048";"";"";"";"";"";"";"";"";"";"U-FL";
"1";"USB-B-S";"USB-B-S";"USB-B-SMT";"X1";"USB Connectors";"";"";"";"";"";"";"";"";"";"";
"1";"V3S";"V3S";"QFP-128";"U$1";"";"";"";"";"";"";"";"";"";"";"";
"1";"VCC-RTC";"PINHD-1X3";"1X03";"JP5";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";
"1";"XC6204";"XC6204XC6204";"SOT25";"U$6";"";"";"";"";"";"";"";"";"";"";"";
"1";"XC6210B332MR-G";"XC6210";"SOT-25";"U$13";"";"";"";"";"";"";"";"";"";"";"";
